,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,11,0,46,116.6903832,4678.022195
1,10,0,47,127.6404617,4697.37826
2,10,0,45,128.8379369,4660.158281
3,11,0,46,133.648139,4658.470163
4,12,0,46,141.884093,4747.468455
5,11,0,46,129.0122437,4673.925516
6,13,0,47,142.1915851,4758.036452
7,13,0,49,143.9533656,4728.231292
8,12,0,47,139.6737275,4666.775561
9,11,0,48,134.6158178,4641.291392
10,9,0,46,120.9579597,4712.34605
11,9,0,45,128.3286929,4631.934618
12,12,0,48,142.405061,4594.07461
13,9,0,47,118.0542567,4710.241526
14,12,0,49,143.0817516,4792.309711
15,11,0,47,136.3096321,4754.57166
16,12,0,49,144.5542464,4777.195222
17,10,0,49,132.0532534,4738.070354
18,10,0,48,129.3331766,4702.438539
19,7,0,41,110.6392806,4837.271004
20,12,0,49,136.8145883,4753.237507
21,12,0,49,135.8404291,4698.25947
22,9,0,49,128.6401029,4756.78299
23,10,0,46,129.981643,4785.566203
24,10,0,48,127.1655252,4694.528095
25,11,0,49,136.3527291,4769.702719
26,7,0,49,118.7030609,4704.626661
27,8,0,49,124.0951147,4711.547957
28,7,0,46,118.9256821,4682.031973
29,9,0,47,128.2820938,4498.126068
30,10,0,49,119.1667011,4396.257663
31,11,0,49,120.684032,4455.520097
32,11,0,45,121.568696,4551.026972
33,7,0,49,110.6615024,4532.423124
34,11,0,50,132.1010225,4483.50105
35,9,0,50,121.2991142,4629.294362
36,8,0,45,117.8289409,4651.590647
37,11,0,50,131.3758037,4596.016572
38,12,0,47,130.7112498,4566.736146
39,11,0,48,126.6469045,4475.253783
40,10,0,49,117.9289236,4500.464142
41,9,0,48,118.4225016,4656.254949
42,10,0,49,131.294019,4503.277442
43,11,0,48,128.8488796,4510.704236
44,10,0,48,118.035918,4313.789363
45,11,0,48,121.7021365,4305.255379
46,10,0,50,113.7116497,4328.171578
47,10,0,46,113.2905686,4333.144527
48,11,0,49,117.2908249,4137.24302
49,13,0,47,124.1649315,4116.07289
50,10,0,47,109.3048677,4313.140031
51,8,0,50,105.936651,4288.327495
52,12,0,46,131.1403224,4470.606746
53,9,0,50,121.1304572,4642.631933
54,9,0,44,125.9269016,4663.510949
55,12,0,49,140.7478409,4686.934384
56,9,0,49,127.2642016,4682.183035
57,12,0,48,140.7201402,4664.015213
58,12,0,50,139.5120273,4678.741159
59,15,0,49,153.3492517,4692.641121
60,10,0,48,131.5778661,4680.551218
61,9,0,48,123.9273357,4639.938451
62,10,0,50,131.2292747,4620.029674
63,7,0,47,115.277621,4693.315605
64,13,0,48,143.1018386,4670.2457
65,11,0,49,135.1859829,4682.612909
66,9,0,47,124.4519541,4654.876279
67,12,0,50,139.7295885,4657.191082
68,9,0,46,125.4945817,4740.273792
69,10,0,48,130.3323271,4699.149511
70,10,0,47,131.708636,4664.322378
71,8,0,48,119.9051225,4681.874057
72,7,0,47,116.9888301,4613.185173
73,9,0,49,123.8590143,4481.536214
74,9,0,47,119.2593606,4557.717204
75,10,0,47,131.2042186,4479.754566
76,10,0,48,127.2540364,4487.952117
77,13,0,49,140.8591769,4506.146455
78,10,0,48,121.2686563,4583.311007
79,10,0,48,125.1805108,4489.636284
80,11,0,50,128.2586322,4426.623472
81,9,0,49,117.0717947,4374.05672
82,13,0,50,135.9301183,4392.186201
83,11,0,47,127.0111811,4275.85375
84,8,0,47,104.6124711,4127.653556
85,9,0,49,114.5118928,4234.949138
86,13,0,48,145.9422822,4647.33579
87,12,0,47,139.4102972,4643.251486
88,12,0,49,137.8138754,4642.76595
89,10,0,47,127.5491459,4485.118283
90,9,0,49,113.418961,4477.501808
91,11,0,49,129.0006862,4497.069435
92,11,0,49,134.6518197,4433.61738
93,10,0,50,120.4714668,4100.839832
94,9,0,49,115.7918172,4421.071359
95,10,0,49,122.8257005,4433.938643
96,10,0,48,122.8367321,4420.409409
97,9,0,47,120.56633,4417.865705
98,10,0,44,119.546689,4407.74459
99,10,0,50,120.9663155,4462.667663